Name,Current Price,Old Price,Discount,Date
"DELL Renewed Latitude 7280, Core I5 -7300U 7th Gen 2.60GHz, 8GB RAM, 256GB SSD, - 12.5""","KSh 17,998","KSh 30,000",40%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256gb + 500gb Hdd -14""  (6 Months WRTY)","KSh 22,999","KSh 46,999",51%,2025-07-05
"HP Refurbished Elitebook 840  Core  I5, Slim Model ,  8GB RAM 500GB  HDD -14"", Black  (6 Months WRTY)","KSh 16,499","KSh 29,999",45%,2025-07-05
HP Chromebook G7 - 4GB RAM- Intel Celeron - Type C - WiFi - Webcam - Bluetooth - Chrome OS - Refurb.,"KSh 8,399","KSh 16,999",51%,2025-07-05
"HP EliteBook 820 G3 Core I5 8GB-256GB SSD 6th Gen 12.5"" Renewed Windows 10","KSh 18,998","KSh 35,000",46%,2025-07-05
"HP Refurbished Elitebook 840   Touchscreen Core  I5, 8GB RAM 500GB   -14"", Black  (6 Months WRTY)","KSh 19,999","KSh 29,999",33%,2025-07-05
"HP REFURBISHED EliteBook 840  Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","KSh 17,000","KSh 70,000",76%,2025-07-05
"HP EliteBook 1TB HDD Storage 16GB RAM  Slim Ultrabook Refurbished Laptop 820 G1 Intel Core I5, Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 23,700","KSh 40,000",41%,2025-07-05
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","KSh 15,400","KSh 30,000",49%,2025-07-05
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black","KSh 10,550","KSh 22,500",53%,2025-07-05
"HP ProBook X 360 11 G3 8GB RAM 256GB SSD 8TH Generation, Intel Pentium silver Quad core, 11.6 Inches Display Touchscreen 2 in 1 Refurbished laptop","KSh 20,999","KSh 25,000",16%,2025-07-05
"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished, (6 Months WRTY)","KSh 17,100","KSh 27,100",37%,2025-07-05
"Apple Refurbished 16GB RAM, 1TB HDD MacBook Pro 13"" (2012) Core I5 2.5GHz Laptop - Silver, MacBook Operating System Installed, Microsoft Office Installed + Free Wireless  Mouse","KSh 36,500","KSh 49,000",26%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256GB  -14"", Sliver  (6 Months WRTY)","KSh 19,499","KSh 46,999",59%,2025-07-05
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""","KSh 17,499","KSh 30,000",42%,2025-07-05
"HP Refurbished Revolve Touchscreen 810 G3 Core I5 8GB RAM, 256GB SSD, 11.6""- Sliver, 6 Months WRTY","KSh 27,800","KSh 70,000",60%,2025-07-05
